"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Gift Helper API","Business Logic","Recipient Service","0","0","5","0","0"
"Gift Helper API","Recipients Management","Root Endpoint","0","0","1","0","0"
"Gift Helper API","Data Access Layer","Repository","0","0","4","0","0"
"","","","0","0","13","0","0"
"Gift Helper API","Recipients Management","Get Recipient","0","0","2","0","0"
"Gift Helper API","Recipients Management","Health Check","0","0","1","0","0"
"Gift Helper API","Recipients Management","Data Isolation","0","0","1","0","0"
"Gift Helper API","Recipients Management","Input Validation","0","0","1","0","0"
"Gift Helper API","Recipients Management","Create Recipient","0","0","2","0","0"
"Gift Helper API","Recipients Management","List Recipients","0","0","2","0","0"
